date,price,dix,gex,NEGATIVE_GAMMA_REGIME,DIX_10D_MA,DARK_POOL_ACCUMULATION,DIP_BUY_SAFE,NET_LIQUIDITY_B,RISK_ON_LIQUIDITY,VPIN_PROXY,HIGH_TOXICITY_FLAG,TOTAL_CLUSTER_BUYS,EUREKA_AVOID_CRASH_FLAG,EUREKA_BUY_THE_DIP_FLAG
2025-10-16,6629.07,0.4687064641663973,5269523815.32,False,0.4508579936307276,True,True,6278.46,False,,,0,False,False
2025-10-17,6664.01,0.4563747925102731,5484917730.33,False,0.4536414426547617,True,True,6227.3,False,,,0,False,False
2025-10-20,6735.13,0.4491445732283318,7161909617.93,False,0.4562088617364302,True,True,6236.68,False,,,0,False,False
2025-10-21,6735.35,0.4423772085178547,7520783534.21,False,0.4581067692454351,True,True,6252.42,False,,,0,False,False
2025-10-22,6699.4,0.4410232153364585,6293061871.38,False,0.4565221792049471,True,True,6279.04,False,,,0,False,False
2025-10-23,6738.44,0.4732222880203374,7820295201.83,False,0.4560454259509815,True,True,6269.2,False,,,0,False,False
2025-10-24,6791.69,0.4585403760746272,7120844043.28,False,0.4552034209378644,True,True,6262.59,False,,,0,False,False
2025-10-27,6875.16,0.4543820631901545,8811406395.69,False,0.4560531641956517,True,True,6264.45,False,,,0,False,False
2025-10-28,6890.89,0.4642449617776533,9319787449.32,False,0.4564939496659256,True,True,6263.490000000001,False,,,0,False,False
2025-10-29,6890.59,0.4826595211618743,8576786583.48,False,0.4590675463983961,True,True,6254.39,False,,,0,False,False
2025-10-30,6822.34,0.435343586848268,6677915847.53,False,0.4557312586665832,True,True,6262.52,False,,,0,False,False
2025-10-31,6840.2,0.4251789662348758,6624386660.87,False,0.4526116760390436,True,True,6282.39,False,,,0,False,False
2025-11-03,6851.97,0.4288247682637994,6781361326.36,False,0.4505796955425903,True,True,6249.29,False,,,0,False,False
2025-11-04,6771.55,0.4350867477896292,5193682277.35,False,0.4498506494697677,False,True,6284.36,False,,,0,False,False
2025-11-05,6796.29,0.4314845934423743,5841663848.71,False,0.4488967872803593,False,True,6324.17,False,,,0,False,False
2025-11-06,6720.32,0.4445074270242051,3909448954.64,False,0.4460253011807461,False,True,6329.82,False,,,0,False,False
2025-11-07,6728.8,0.4157386053994561,5127254402.97,False,0.4417451241132289,False,True,6267.150000000001,False,,,0,False,False
2025-11-10,6832.43,0.4602017274430328,7393632865.95,False,0.4423270905385168,False,True,6242.33,False,,,0,False,False
2025-11-11,6846.61,0.457797430250406,7921433802.95,False,0.441682337385792,False,True,6236.349999999999,False,,,0,False,False
2025-11-12,6850.92,0.4412578739145336,8048269704.74,False,0.437542172661058,False,True,6250.12,False,,,0,False,False
2025-11-13,6737.49,0.4467928320102257,5335870433.45,False,0.4386870971772538,False,True,6259.59,False,,,0,False,False
